h1,h2,tr,comp,tr2,tr1,gx1,gx2,fx1,x1prod,fx2,x2prod,ch2,ch1,htgx1,htgx2,htx1prod,htx2prod,tgx1,tgx2,tx1prod,tx2prod
0,-4.6638155,1,0,0,1,4.1006999,-0.71545362,0.349123269,1.4316498,0,,5.1643629,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6604323,1,0,0,1,4.1006999,-0.71265119,0.349123269,1.4316498,0,,5.1609797,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6570497,1,0,0,1,4.1006999,-0.70984918,0.349123269,1.4316498,0,,5.1575971,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.653667,1,0,0,1,4.1006999,-0.70704716,0.349123269,1.4316498,0,,5.1542144,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6502838,1,0,0,1,4.1006999,-0.70424473,0.349123269,1.4316498,0,,5.1508312,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6469011,1,0,0,1,4.1006999,-0.70144272,0.349123269,1.4316498,0,,5.1474485,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.643518,1,0,0,1,4.1006999,-0.69864029,0.349123269,1.4316498,0,,5.1440654,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6401353,1,0,0,1,4.1006999,-0.69583821,0.349123269,1.4316498,0,,5.1406827,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6367526,1,0,0,1,4.1006999,-0.6930362,0.349123269,1.4316498,0,,5.1373,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6333694,1,0,0,1,4.1006999,-0.69023377,0.349123269,1.4316498,0,,5.1339169,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6299868,1,0,0,1,4.1006999,-0.68743175,0.349123269,1.4316498,0,,5.1305342,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6266041,1,0,0,1,4.1006999,-0.68462974,0.349123269,1.4316498,0,,5.1271515,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6232209,1,0,0,1,4.1006999,-0.68182731,0.349123269,1.4316498,0,,5.1237683,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6198382,1,0,0,1,4.1006999,-0.67902523,0.349123269,1.4316498,0,,5.1203856,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6164556,1,0,0,1,4.1006999,-0.67622322,0.349123269,1.4316498,0,,5.117003,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6130724,1,0,0,1,4.1006999,-0.67342079,0.349123269,1.4316498,0,,5.1136198,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.6096897,1,0,0,1,4.1006999,-0.67061877,0.349123269,1.4316498,0,,5.1102371,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
0,-4.606307,1,0,0,1,4.1006999,-0.66781676,0.349123269,1.4316498,0,,5.1068544,0.51056397,3.9316957,3.9998913,1.3726465,,3.956187,3.956187,1.381197,
