h1,h2,tr,comp,tr2,tr1,gx1,gx2,fx1,x1prod,fx2,x2prod,ch2,ch1,htgx1,htgx2,htx1prod,htx2prod,tgx1,tgx2,tx1prod,tx2prod
0,-4.6638155,1,0,0,1,4.1006999,-2.7154536,0.349123269,1.4316498,0,,5.1643629,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6604323,1,0,0,1,4.1006999,-2.7126513,0.349123269,1.4316498,0,,5.1609797,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6570497,1,0,0,1,4.1006999,-2.7098491,0.349123269,1.4316498,0,,5.1575971,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.653667,1,0,0,1,4.1006999,-2.7070472,0.349123269,1.4316498,0,,5.1542144,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6502838,1,0,0,1,4.1006999,-2.7042446,0.349123269,1.4316498,0,,5.1508312,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6469011,1,0,0,1,4.1006999,-2.7014427,0.349123269,1.4316498,0,,5.1474485,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.643518,1,0,0,1,4.1006999,-2.6986403,0.349123269,1.4316498,0,,5.1440654,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6401353,1,0,0,1,4.1006999,-2.6958382,0.349123269,1.4316498,0,,5.1406827,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6367526,1,0,0,1,4.1006999,-2.6930363,0.349123269,1.4316498,0,,5.1373,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6333694,1,0,0,1,4.1006999,-2.6902337,0.349123269,1.4316498,0,,5.1339169,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6299868,1,0,0,1,4.1006999,-2.6874318,0.349123269,1.4316498,0,,5.1305342,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6266041,1,0,0,1,4.1006999,-2.6846297,0.349123269,1.4316498,0,,5.1271515,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
0,-4.6232209,1,0,0,1,4.1006999,-2.6818273,0.349123269,1.4316498,0,,5.1237683,0.51056397,3.9316957,1.9998913,1.3726465,,4.9227538,4.9227538,1.718648,
