 -1.6061   -0.3560    0.5106   -0.4436   -1.0457   -0.9027
 -2.5455   -1.8924   -0.8473    0.9227   -1.0045   -0.0790
  0.7751    0.4906    0.8729   -1.0526   -0.7384   -0.7944
  0.8983    0.7018    0.2105   -0.7405   -0.9445    0.4469
  2.9458   -0.2936    1.8900    1.3557   -0.1354   -0.5235
 -3.4600   -0.5868   -1.3144   -1.4205   -0.4226   -0.3206
 -3.1791   -1.2267   -0.9636   -1.4510    1.5979   -1.5229
  0.6309    3.0195   -1.0690   -0.9702   -0.3811   -1.1105
  4.2999    1.6093    0.0597   -1.3630    0.2348    2.7340
  3.7396    0.0956    0.9866    0.7002   -0.3093    1.8455
  2.9372   -0.0155    2.3977    0.4143    0.3409   -0.3844
  0.9789   -1.3275    0.2395    0.2887    0.5486    0.5039
 -1.5247   -0.5088    0.0767    0.3578   -1.0160   -0.8048
 -2.9958   -0.9795   -1.0227    0.5912   -1.6335   -0.7928
 -4.3826   -1.3323    0.2200   -1.6361   -1.8104   -0.5581
  2.3634    0.7614   -0.3941   -0.4767   -0.0349    0.9367
  4.0130    0.6823    0.3095    1.3320    0.6758   -0.1634
 -0.2433   -0.2959    0.4051    0.0965   -0.8909   -0.5154
  0.4875   -0.5245    1.4573   -0.2011   -1.8913    1.3819
  2.9541   -0.4205   -0.2280    0.8304    2.2175   -0.3699
 -2.2802   -0.6509   -0.2396   -0.7675   -0.9381    0.0923
 -1.2663    0.2110   -1.0926    1.7064   -1.5436   -0.9211
  3.9990    0.9277   -0.6718    1.3710    0.1596    1.1250
  0.4684   -0.1609   -0.1090   -0.0878   -0.3688    0.5548
  2.9968    0.2096    1.0522    1.5412   -1.0122    1.0254
  1.2966   -0.2513    0.4720    0.6069    0.1134    0.3106
  4.0522    0.1069    2.0289   -0.2911    0.8850    0.5993
  1.3648   -0.0905    1.0027    0.6400   -0.5823    0.0475
  1.1913    1.5203   -0.5523   -0.9173   -0.7176    0.1976
  1.5550   -0.2649    0.8026    0.4899   -0.6733    0.8168
  2.6861   -0.0604    0.8157    1.7732   -0.3197   -0.1501
  0.5607    0.0426   -0.5312   -0.1889    1.6065   -0.3900
  2.4445   -0.5664   -0.0888   -0.2658    1.0613    1.3937
 -2.4851   -1.2105   -0.3321   -0.4489    0.3005   -1.5948
 -0.5859   -1.9642   -0.3430    0.6864    0.3511   -0.0621
 -1.7972   -1.1490   -1.7586   -1.5504    0.9522    0.8955
  0.0404    0.2000   -1.3463    0.1106   -0.6329    1.3258
  0.6195    0.4026   -1.2178   -0.2314   -0.8587    0.9075
  1.8815   -0.5478   -0.9892    0.3166    1.7461    0.7803
 -0.1930   -0.1289    0.4403    0.1012   -0.5561   -0.5795
  3.9139    2.6573    1.0456   -1.1618   -0.0243    0.1220
  1.9553    0.8312   -1.1743   -1.2113    0.9170    1.3441
 -3.9315   -1.5485   -1.1226   -0.5083   -0.5015   -0.7023
  3.3087    1.6828   -1.2949    0.3391   -0.2513    1.6054
  5.4876    2.1623   -1.6927    0.6496    1.6728    0.8911
 -1.2160   -1.1294   -0.7015    0.5382   -1.3644    0.4550
  1.8840    0.0021    0.3865    0.7443   -0.3351    1.0562
  4.0535   -0.3846    0.2787    1.0637    1.2946    1.2655
  1.1488   -1.9523    0.6184    1.9920    0.4811   -0.0775
 -1.3486   -0.5392   -0.8271   -0.6857   -0.2520    0.1533
  1.9521    0.3111   -1.5202    0.9118    1.0112   -0.7509
  1.4503   -0.5298    0.3550    1.5150    0.2788   -0.2357
  4.5498   -0.4324    0.2483    0.7235    2.6114    0.4595
  0.1715    0.2179    0.1262    0.4594    0.2879   -0.9381
  0.4121    0.1756   -1.0666    0.1454    1.0956   -0.6216
 -1.9135   -0.9955   -1.6842    1.3318    0.2689   -1.6182
  1.6199    0.7478    1.2845    0.8679   -0.8627   -1.9517
  0.5971    1.3317   -0.7623   -1.7823   -1.1018    1.0265
  1.0770    0.6712   -1.1748    0.0278    0.3696   -0.7158
 -2.6982   -0.1881    0.3663    0.0946   -1.5945   -2.0025
  1.3805    0.3410    0.3890   -0.5453   -0.8761    0.9340
 -0.0243   -1.3656   -0.2960    0.8639   -0.5136    1.0692
  3.0550    1.8917    0.0006    0.1877   -0.6898    0.4826
 -1.8664   -0.5672   -0.6499   -0.9808    0.8315   -0.5419
 -4.4531   -0.0462   -1.7739   -0.8919   -1.4224   -0.4256
  0.7336   -1.3088   -0.2855   -0.0188    1.1291    0.6012
  1.6569    1.2912    0.8609   -0.9644   -1.3113   -0.1591
  1.1891    0.5814   -0.5494   -0.0197   -0.4958    0.3180
 -1.0034   -0.7593   -0.8086   -0.5051   -0.0704    0.7294
  5.5187    2.4299    0.9031    0.1723   -0.2967    0.3256
 -1.6512   -0.9918   -0.8889   -0.5885   -1.8116    1.6839
  4.3414    1.8281   -0.9589    0.1155    1.3034    0.3767
 -2.1245    0.2807   -0.7114   -1.0917   -0.2289   -1.3615
  3.3882    1.2117   -1.7512    1.4805    0.7879   -0.1076
